media_name,title
토큰포스트,"인도 와지르X, 보안 사고로 '3000억원' 손실...북한 라자루스 소행 추정"
한국금융신문,"‘정보보호에 진심인’ 한국지역정보개발원, 디지털시대 ‘정보보호’ 활동 눈길"
대학저널,"고려대-KAIST, 의과학·임상의학 공동 심포지엄"
뉴시스,"고려대-KAIST, 의과학·임상의학 공동 심포지엄 개최"
보안뉴스,"모아진, 삼성 갤럭시 Z 폴드6 및 Z 플립6 구매 고객 대상 특별 프로모션"
보안뉴스,제네텍과 함께하는 런던 히스로 공항의 운영 혁신
데일리시큐,"북한 해킹그룹, 맥OS 사용자 겨냥한 악성코드 제작…주의"
스마트경제,"고려대, 카이스트와 의과학·임상의학 공동 심포지엄 개최"
아시아에이,"리빌더AI, 과기부 장관 표창 수상…3D 콘텐츠 생성 기술로 ICT 우수 기업 선정"
아이티비즈,"리빌더AI, 과기부 장관 표창…몰입형 3D 콘텐츠 생성 기술로 ICT 분야 우수기업 인증"
한국금융신문,"‘정보보호에 진심인’ 한국지역정보개발원, 디지털시대 ‘정보보호’ 활동 눈길"
대학저널,"고려대-KAIST, 의과학·임상의학 공동 심포지엄"
뉴시스,"고려대-KAIST, 의과학·임상의학 공동 심포지엄 개최"
보안뉴스,"모아진, 삼성 갤럭시 Z 폴드6 및 Z 플립6 구매 고객 대상 특별 프로모션"
보안뉴스,제네텍과 함께하는 런던 히스로 공항의 운영 혁신
데일리시큐,"북한 해킹그룹, 맥OS 사용자 겨냥한 악성코드 제작…주의"
스마트경제,"고려대, 카이스트와 의과학·임상의학 공동 심포지엄 개최"
아시아에이,"리빌더AI, 과기부 장관 표창 수상…3D 콘텐츠 생성 기술로 ICT 우수 기업 선정"
아이티비즈,"리빌더AI, 과기부 장관 표창…몰입형 3D 콘텐츠 생성 기술로 ICT 분야 우수기업 인증"
투데이에너지,"환경부, 사용후 배터리 순환이용 포럼"
글로벌에픽,"리빌더AI, ICT 분야 우수 기업 선정으로 과학기술정보통신부 장관 표창"
한국일보,"구글 ""AI 활용해 매일 전 세계 1억개 피싱 메일 차단"""
디지털투데이,암호화폐 거래소로 위장…新유형 사이버 공격 '활개'
토큰포스트,"[토큰포스트 브리핑] 소식통 ""트럼프 '비트코인을 미국 준비자산으로' 발언 가능성 有"" 外"
데이터뉴스,"이글루코퍼레이션, 아시아 보안시장서 승부"
